symbol,year,period,costOfGoodsSold,dilutedAverageSharesOutstanding,dilutedEPS,ebit,grossIncome,interestIncomeExpense,netIncome,netIncomeAfterTaxes,period,pretaxIncome,provisionforIncomeTaxes,researchDevelopment,revenue,sgaExpense,totalOperatingExpense,totalOtherIncomeExpenseNet
TSN,2019,2019-09-28,37383,363,5.53796,2882,5022,-423,2022,2035,2019-09-28,2431,396,,42405,2154,2140,-28
TSN,2018,2018-09-29,34956,365,5.87346,3032,5096,-325,3024,2023,2018-09-29,2745,722,,40052,2005,2064,38
TSN,2017,2017-09-30,33142,370,5.06888,2931,5118,-272,1774,1778,2017-09-30,2628,850,,38260,2037,2187,-31
TSN,2016,2016-10-01,32184,390,4.53333,2833,4697,-245,1768,1772,2016-10-01,2598,826,,36881,1864,1864,10
TSN,2015,2015-10-03,37456,413,2.954,2169,3917,-280,1220,1224,2015-10-03,1921,697,,41373,1748,1748,32
TSN,2014,2014-09-27,34895,364,2.37,1430,2685,-125,864,856,2014-09-27,1252,396,,37580,1255,1255,-53
TSN,2013,2013-09-28,32016,367,2.31,1375,2358,-136,778,848,2013-09-28,1257,409,,34374,983,983,18
TSN,2012,2012-09-29,31118,370,1.9,1081,2160,-177,583,576,2012-09-29,927,351,,33278,912,1079,23
TSN,2011,2011-10-01,30067,380,2.01,1278,2199,-224,750,733,2011-10-01,1074,341,,32266,914,921,20
TSN,2010,2010-10-02,25916,379,2.24,1495,2514,-272,780,765,2010-10-02,1203,438,,28430,929,1019,-20
TSN,2009,2009-10-03,25501,372,-0.46,-215,1203,-293,-537,-540,2009-10-03,-526,14,,26704,841,1418,-18
TSN,2008,2008-09-27,25616,356,0.32,331,1246,-206,86,86,2008-09-27,154,68,,26862,879,915,29
TSN,2007,2007-09-29,25467,355,0.75,614,1433,-224,268,268,2007-09-29,410,142,,26900,817,819,20
TSN,2006,2006-09-30,24631,345,-0.55,-77,928,-238,-196,-191,2006-09-30,-293,-102,,25559,935,1005,22
TSN,2005,2005-10-01,24274,357,1.04,765,1740,-227,372,372,2005-10-01,528,156,,26014,928,975,-10
TSN,2004,2004-10-02,24550,357,1.13,925,1891,-275,403,403,2004-10-02,635,232,,26441,880,966,-15
TSN,2003,2003-09-27,22805,352,1.1,837,1744,-296,337,337,2003-09-27,523,186,,24549,831,907,-18
TSN,2002,2002-09-28,21550,355,1.28,887,1817,-305,383,383,2002-09-28,593,210,,23367,877,930,11
TSN,2001,2001-09-29,9661,222,0.58,315,1090,-144,88,107,2001-09-29,165,58,,10751,775,775,-6
TSN,2000,2000-09-30,6044,226,0.82,348,1114,-115,151,151,2000-09-30,234,83,,7158,732,766,1
TSN,1999,1999-10-02,6054,231,1.37,487,1309,-121,230,242,1999-10-02,371,129,,7363,709,822,5
TSN,1998,1998-10-03,6260,228,0.66,204,1154,-139,25,25,1998-10-03,71,46,,7414,775,951,7
TSN,1997,1997-09-27,5318,218,0.98,400,1038,-110,186,186,1997-09-27,330,144,,6356,610,638,40
TSN,1996,1996-09-28,5506,218,0.52,270,948,-142,87,84,1996-09-28,133,49,,6454,651,678,5
TSN,1995,1995-09-30,4423,218,1.13,472,1088,-131,219,213,1995-09-30,344,131,,5511,591,617,2
TSN,1994,1994-10-01,4149,222,0.75,195,961,-86,-2,-2,1994-10-01,119,121,,5110,522,766,9
TSN,1993,1993-10-02,3797,223,0.95,376,911,-73,180,180,1993-10-02,310,129,,4707,505,535,7
TSN,1992,1992-10-03,3390,208,0.92,332,778,-77,161,161,1992-10-03,261,101,,4169,417,447,6
TSN,1991,1991-09-28,3147,207,0.84,333,775,-95,145,145,1991-09-28,243,97,,3922,412,442,5
TSN,1990,1990-09-29,3082,199,0.73,320,744,-129,120,120,1990-09-29,200,80,,3825,398,423,9
TSN,1989,1989-09-30,2056,195,0.54,211,482,-45,101,101,1989-09-30,164,63,,2538,268,272,-2
TSN,1988,1988-09-30,1628,192,0.43,124,308,-19,81,81,1988-09-30,104,23,,1936,184,184,0
TSN,1987,1987-09-30,1483,192,0.35,146,303,-23,68,68,1987-09-30,123,55,,1786,157,157,0
TSN,1986,1986-09-30,1272,192,0.26,115,232,-21,50,50,1986-09-30,98,48,,1504,117,117,3
TSN,1985,1985-09-30,954,178,0.2,89,181,-19,35,35,1985-09-30,70,35,,1136,92,93,1
TSN,1984,1984-09-30,652,176,0.1,43,98,-11,18,18,1984-09-30,33,15,,750,55,55,0
TSN,1983,1983-09-30,529,176,0.06,29,74,-10,11,11,1983-09-30,20,9,,604,45,45,1
AMGN,2019,2019-12-31,4356,609,12.94308,9674,19006,-536,7842,7842,2019-12-31,9138,1296,4116,23362,5150,9332,
AMGN,2018,2018-12-31,4101,665,13.0087,10343,19646,-798,8394,8394,2018-12-31,9545,1151,3737,23747,5332,9303,
AMGN,2017,2017-12-31,4069,735,11.41218,9973,18780,-376,1979,8079,2017-12-31,9597,1518,3562,22849,4870,8807,
AMGN,2016,2016-12-31,4162,754,10.23467,9794,18829,-631,7722,7722,2016-12-31,9163,1441,3840,22991,5062,9035,
AMGN,2015,2015-12-31,4227,766,9.13215,8470,17435,-492,6939,6939,2015-12-31,7978,1039,4070,21662,4846,8965,
AMGN,2014,2014-12-31,4422,770,7.15,6191,15641,-606,5158,5158,2014-12-31,5585,427,4297,20063,4699,9450,77
AMGN,2013,2013-12-31,3346,765,7.02,5867,15330,-602,5081,5081,2013-12-31,5265,184,4083,18676,4969,9463,113
AMGN,2012,2012-12-31,2907,787,5.97,5577,14358,-568,4345,4345,2012-12-31,5009,664,3330,17265,3178,8781,56
AMGN,2011,2011-12-31,2420,912,5.06,4312,13162,-162,3683,3683,2011-12-31,4150,467,3139,15582,3119,8850,7
AMGN,2010,2010-12-31,2220,965,5.07,5545,12833,-228,4627,4627,2010-12-31,5317,690,2894,15053,2680,7288,-1
AMGN,2009,2009-12-31,2091,1021,4.69,5506,12551,-302,4605,4605,2009-12-31,5204,599,2864,14642,2579,7045,9
AMGN,2008,2008-12-31,2296,1075,4.19,5214,12707,36,4196,4196,2008-12-31,5250,1054,3030,15003,3861,7493,
AMGN,2007,2007-12-31,2548,1123,3.86,3980,12223,-19,3166,3166,2007-12-31,3961,795,3266,14771,3412,8243,
